UniqueCarrier,DepDelay_x_bar,DepDelay_x_Lcl,DepDelay_x_Ucl,DepDelay_x_test,ArrDelay_x_bar,ArrDelay_x_Lcl,ArrDelay_x_Ucl,ArrDelay_x_test,Final_test,Description
HA,-0.00033924631475725213,-12.021707854811321,12.021029362181807,0.0533515731874145,0.0008263982588549687,-13.388133154017916,13.389785950535627,0.057455540355677154,0.05540355677154583,Hawaiian Airlines Inc.
B6,0.019981548054592308,-42.906500263189365,42.946463359298555,0.08891928864569083,0.017880856639227772,-45.71806419551035,45.75382590878881,0.09439124487004104,0.09165526675786594,JetBlue Airways
F9,0.00918412833271889,-15.864639326258988,15.883007582924424,0.11080711354309165,0.009384772965591925,-21.322591823320337,21.341361369251523,0.09165526675786594,0.1012311901504788,Frontier Airlines Inc.
9E,0.01062981767007697,-14.574971810414379,14.596231445754533,0.18057455540355677,0.008223837499935494,-17.153821443599018,17.170269118598892,0.16142270861833105,0.1709986320109439,Pinnacle Airlines Inc.
AS,0.010609082623919037,-12.932662349581628,12.953880514829466,0.2079343365253078,0.008222578808675425,-15.346648955152146,15.363094112769497,0.13679890560875513,0.17236662106703146,Alaska Airlines Inc.
NW,0.010517534026622451,-14.446872443078437,14.467907511131681,0.17510259917920656,0.013200698957544008,-16.33073214255861,16.357133540473697,0.2161422708618331,0.19562243502051985,Northwest Airlines Inc.
FL,0.013151932869352366,-16.123200140394445,16.14950400613315,0.2051983584131327,0.012271186627228134,-18.255113933975903,18.279656307230358,0.19425444596443228,0.1997264021887825,AirTran Airways Corporation
OO,0.011193706127505561,-12.394809855307244,12.417197267562255,0.2393980848153215,0.011147667257132175,-14.737008018319056,14.75930335283332,0.2079343365253078,0.22366621067031464,Skywest Airlines Inc.
DL,0.0104963498458907,-12.035293525503892,12.056286225195674,0.2393980848153215,0.009907989927777479,-14.221585268785018,14.241401248640573,0.21203830369357046,0.22571819425444598,Delta Air Lines Inc.
US,0.012520000523990339,-11.898952907133094,11.923992908181074,0.3173734610123119,0.009708567532197267,-14.948317380063834,14.967734515128228,0.22298221614227087,0.2701778385772914,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)
WN,0.014153877247778186,-11.146365074672849,11.174672829168406,0.34746922024623805,0.007353574331460068,-12.099489468151367,12.114196616814288,0.2024623803009576,0.27496580027359785,Southwest Airlines Co.
CO,0.01633779411296857,-13.84273114508825,13.875406733314188,0.33652530779753764,0.013765176004154975,-18.796715617687013,18.824245969695326,0.2216142270861833,0.27906976744186046,Continental Air Lines Inc.
AA,0.01934205527723767,-15.878902666167688,15.917586776722162,0.34199726402188785,0.018703854575432353,-20.495160302127697,20.53256801127856,0.25170998632010944,0.29685362517099867,American Airlines Inc.
EV,0.021817086202024476,-16.43201145615361,16.475645628557658,0.3679890560875513,0.018541512768236876,-22.125187818190806,22.16227084372728,0.22845417236662108,0.29822161422708615,Atlantic Southeast Airlines
OH,0.016758468180171477,-13.69578286990174,13.729299806262082,0.3447802197802198,0.017302828611506345,-16.186207728498644,16.220813385721655,0.3173076923076923,0.33104395604395603,Comair Inc.
MQ,0.0167360267684206,-12.859376921590775,12.892848975127615,0.3748290013679891,0.01639533473394974,-15.124790114261216,15.157580783729117,0.3433652530779754,0.35909712722298226,American Eagle Airlines Inc.
UA,0.019362490900346394,-13.326859844383298,13.365584826183992,0.43091655266757867,0.016453116195209616,-17.70728130252776,17.740187534918178,0.28864569083447333,0.359781121751026,United Air Lines Inc.
XE,0.014998025679269259,-11.475208028759806,11.505204080118343,0.3789329685362517,0.0128952138120598,-12.698374183287914,12.724164610912034,0.35841313269493846,0.3686730506155951,Expressjet Airlines Inc.
YV,0.01694330237423764,-12.285269874934336,12.31915647968281,0.4076607387140903,0.015749221967920564,-13.287735896322591,13.319234340258433,0.3625170998632011,0.3850889192886457,Mesa Airlines Inc.
